0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
35.068100  6.726563 5.82858 5.199139 1.977400 -0.00722999 0.00737428 17.155588 -11.7749 8.140135 0.676069 0. 0.
35.172055  7.994569 6.36906 5.199139 1.979656 -0.00799658 0.00737428 14.795431 -10.9287 8.140135 0.677107 0. 0.
35.478145  9.979422 -0.411514 0.117176 1.984895 -0.0092245 0.000487946 11.650479 -0.154611 0.087885 0.680968 0. 0.
35.585100  9.892735 -0.398982 0.117176 1.986609 -0.00927669 0.000487946 11.618411 -0.145211 0.087885 0.682431 0. 0.
35.685100  9.814111 -0.387264 0.117176 1.988224 -0.00932548 0.000487946 11.590248 -0.136422 0.087885 0.683803 0. 0.
35.685100  9.814111 -0.387264 0.117176 1.988224 -0.00932548 0.000487946 11.590248 -0.136422 0.087885 0.683803 0. 0.
35.802100  9.725095 -0.373555 0.117176 1.990130 -0.00938257 0.000487946 11.559528 -0.12614 0.087885 0.685412 0. 0.
35.862100  9.680690 -0.366524 0.117176 1.991114 -0.00941185 0.000487946 11.544708 -0.120867 0.087885 0.686238 0. 0.
35.944600  9.621011 -0.356857 0.117176 1.992475 -0.0094521 0.000487946 11.525363 -0.113616 0.087885 0.687376 0. 0.
35.944600  9.621011 -0.356857 0.117176 1.992475 -0.0094521 0.000487946 11.525363 -0.113616 0.087885 0.687376 0. 0.
37.023100  8.987565 -0.230483 0.117176 2.010975 -0.00997835 0.000487946 11.382517 -0.0188321 0.087885 0.702385 0. 0.
38.023100  8.643774 -0.113308 0.117176 2.029072 -0.0104663 0.000487946 11.432738 0.0690531 0.087885 0.716355 0. 0.
38.023100  8.643774 -0.113308 0.117176 2.029072 -0.0104663 0.000487946 11.432738 0.0690531 0.087885 0.716355 0. 0.
38.023100  8.643774 -0.113308 0.117176 2.029072 -0.0104663 0.000487946 11.432738 0.0690531 0.087885 0.716355 0. 0.
39.023100  8.534334 0.00386778 0.117176 2.047644 -0.0109542 0.000487946 11.658729 0.156938 0.087885 0.730157 0. 0.
39.105600  8.535769 0.0135348 0.117176 2.049182 -0.0109945 0.000487946 11.685222 0.164189 0.087885 0.731282 0. 0.
39.105600  8.535769 0.0135348 0.117176 2.049182 -0.0109945 0.000487946 11.685222 0.164189 0.087885 0.731282 0. 0.
39.188100  8.538800 0.0232017 0.117176 2.050720 -0.0110348 0.000487946 11.712912 0.171439 0.087885 0.732405 0. 0.
39.248100  8.542006 0.0302323 0.117176 2.051839 -0.011064 0.000487946 11.733801 0.176712 0.087885 0.733219 0. 0.
39.365100  8.550685 0.0439418 0.117176 2.054017 -0.0111211 0.000487946 11.776355 0.186995 0.087885 0.734803 0. 0.
39.365100  8.550685 0.0439418 0.117176 2.054017 -0.0111211 0.000487946 11.776355 0.186995 0.087885 0.734803 0. 0.
39.465100  8.560645 0.0556594 0.117176 2.055878 -0.0111699 0.000487946 11.814632 0.195784 0.087885 0.736153 0. 0.
39.572055  8.573891 0.0681919 0.117176 2.057865 -0.0112221 0.000487946 11.857518 0.205183 0.087885 0.737591 0. 0.
